Time resolution is 1 ps
Time:                    0 | A: 0000 | C0: 0 | CLK: 0 | Clr: 0 | Load: 0 | Count: 1 | IN: 0000
Time:                 5000 | A: 0001 | C0: 0 | CLK: 1 | Clr: 1 | Load: 0 | Count: 1 | IN: 0000
Time:                10000 | A: 0001 | C0: 0 | CLK: 0 | Clr: 1 | Load: 0 | Count: 1 | IN: 0000
Time:                15000 | A: 0010 | C0: 0 | CLK: 1 | Clr: 1 | Load: 0 | Count: 1 | IN: 0000
Time:                20000 | A: 0010 | C0: 0 | CLK: 0 | Clr: 1 | Load: 0 | Count: 1 | IN: 0000
Time:                25000 | A: 0011 | C0: 0 | CLK: 1 | Clr: 1 | Load: 0 | Count: 1 | IN: 0000
Time:                30000 | A: 0011 | C0: 0 | CLK: 0 | Clr: 1 | Load: 0 | Count: 1 | IN: 0000
Time:                35000 | A: 0100 | C0: 0 | CLK: 1 | Clr: 1 | Load: 0 | Count: 1 | IN: 0000
Time:                40000 | A: 0100 | C0: 0 | CLK: 0 | Clr: 1 | Load: 0 | Count: 1 | IN: 0000
Time:                45000 | A: 1001 | C0: 0 | CLK: 1 | Clr: 1 | Load: 1 | Count: 1 | IN: 1001
Time:                50000 | A: 1001 | C0: 0 | CLK: 0 | Clr: 1 | Load: 1 | Count: 1 | IN: 1001
Time:                55000 | A: 1010 | C0: 0 | CLK: 1 | Clr: 1 | Load: 0 | Count: 1 | IN: 1001
Time:                60000 | A: 1010 | C0: 0 | CLK: 0 | Clr: 1 | Load: 0 | Count: 1 | IN: 1001
Time:                65000 | A: 1011 | C0: 0 | CLK: 1 | Clr: 1 | Load: 0 | Count: 1 | IN: 1001
Time:                70000 | A: 1011 | C0: 0 | CLK: 0 | Clr: 1 | Load: 0 | Count: 1 | IN: 1001
Time:                75000 | A: 1100 | C0: 0 | CLK: 1 | Clr: 1 | Load: 0 | Count: 1 | IN: 1001
Time:                80000 | A: 1100 | C0: 0 | CLK: 0 | Clr: 1 | Load: 0 | Count: 1 | IN: 1001
Time:                85000 | A: 1101 | C0: 0 | CLK: 1 | Clr: 1 | Load: 0 | Count: 1 | IN: 1001
Time:                90000 | A: 1101 | C0: 0 | CLK: 0 | Clr: 1 | Load: 0 | Count: 1 | IN: 1001
Time:                95000 | A: 1110 | C0: 0 | CLK: 1 | Clr: 1 | Load: 0 | Count: 1 | IN: 1001
Time:               100000 | A: 1110 | C0: 0 | CLK: 0 | Clr: 1 | Load: 0 | Count: 1 | IN: 1001
Time:               105000 | A: 1111 | C0: 0 | CLK: 1 | Clr: 1 | Load: 0 | Count: 1 | IN: 1001
Time:               110000 | A: 1111 | C0: 0 | CLK: 0 | Clr: 1 | Load: 0 | Count: 1 | IN: 1001
Time:               115000 | A: 0000 | C0: 1 | CLK: 1 | Clr: 1 | Load: 0 | Count: 1 | IN: 1001
Time:               120000 | A: 0000 | C0: 1 | CLK: 0 | Clr: 1 | Load: 0 | Count: 1 | IN: 1001
Time:               125000 | A: 0000 | C0: 1 | CLK: 1 | Clr: 1 | Load: 0 | Count: 0 | IN: 1001
Time:               130000 | A: 0000 | C0: 1 | CLK: 0 | Clr: 1 | Load: 0 | Count: 0 | IN: 1001
Time:               135000 | A: 0000 | C0: 1 | CLK: 1 | Clr: 1 | Load: 0 | Count: 0 | IN: 1001
Time:               140000 | A: 0000 | C0: 1 | CLK: 0 | Clr: 1 | Load: 0 | Count: 0 | IN: 1001
Time:               145000 | A: 0000 | C0: 1 | CLK: 1 | Clr: 1 | Load: 0 | Count: 0 | IN: 1001
Time:               150000 | A: 0000 | C0: 1 | CLK: 0 | Clr: 1 | Load: 0 | Count: 0 | IN: 1001
Time:               155000 | A: 0000 | C0: 1 | CLK: 1 | Clr: 1 | Load: 0 | Count: 0 | IN: 1001
Time:               160000 | A: 0000 | C0: 1 | CLK: 0 | Clr: 1 | Load: 0 | Count: 0 | IN: 1001
Time:               165000 | A: 0000 | C0: 1 | CLK: 1 | Clr: 1 | Load: 0 | Count: 0 | IN: 1001
Time:               170000 | A: 0000 | C0: 1 | CLK: 0 | Clr: 1 | Load: 0 | Count: 0 | IN: 1001
Time:               175000 | A: 0000 | C0: 1 | CLK: 1 | Clr: 1 | Load: 0 | Count: 0 | IN: 1001
Time:               180000 | A: 0000 | C0: 1 | CLK: 0 | Clr: 1 | Load: 0 | Count: 0 | IN: 1001
Time:               185000 | A: 0000 | C0: 1 | CLK: 1 | Clr: 1 | Load: 0 | Count: 0 | IN: 1001
Time:               190000 | A: 0000 | C0: 1 | CLK: 0 | Clr: 1 | Load: 0 | Count: 0 | IN: 1001
Time:               195000 | A: 0000 | C0: 1 | CLK: 1 | Clr: 1 | Load: 0 | Count: 0 | IN: 1001
Time:               200000 | A: 0000 | C0: 1 | CLK: 0 | Clr: 1 | Load: 0 | Count: 0 | IN: 1001
Time:               205000 | A: 0000 | C0: 1 | CLK: 1 | Clr: 1 | Load: 0 | Count: 0 | IN: 1001
$finish called at time : 210 ns : File "C:/vivadoproject/project_30/project_30.srcs/sim_1/new/q.v" Line 44
